Topic ID,Words and Weights
Topic 0,"0.011*""us"" + 0.008*""chips"" + 0.008*""salsa"" + 0.008*""mexican"" + 0.007*""table"" + 0.005*""server"" + 0.005*""said"" + 0.005*""minutes"" + 0.005*""asked"" + 0.005*""pretty"""
Topic 1,"0.011*""chipotle"" + 0.008*""burrito"" + 0.007*""bell"" + 0.006*""minutes"" + 0.006*""line"" + 0.005*""drive"" + 0.005*""customer"" + 0.005*""said"" + 0.005*""asked"" + 0.005*""bowl"""
Topic 2,"0.008*""delicious"" + 0.007*""amazing"" + 0.007*""menu"" + 0.007*""definitely"" + 0.007*""drinks"" + 0.006*""atmosphere"" + 0.006*""bar"" + 0.005*""beer"" + 0.005*""us"" + 0.005*""best"""
Topic 3,"0.011*""breakfast"" + 0.008*""sandwich"" + 0.007*""menu"" + 0.007*""delicious"" + 0.006*""burger"" + 0.006*""coffee"" + 0.006*""fresh"" + 0.005*""cream"" + 0.005*""cheese"" + 0.005*""fries"""
Topic 4,"0.014*""mexican"" + 0.010*""delicious"" + 0.010*""best"" + 0.009*""fresh"" + 0.008*""burrito"" + 0.008*""salsa"" + 0.006*""amazing"" + 0.006*""definitely"" + 0.006*""authentic"" + 0.005*""chips"""
