Topic ID,Words and Weights
Topic 0,"0.020*""pho"" + 0.014*""bao"" + 0.013*""buns"" + 0.011*""pork"" + 0.010*""bun"" + 0.009*""boba"" + 0.008*""delicious"" + 0.008*""tea"" + 0.007*""bakery"" + 0.006*""vietnamese"""
Topic 1,"0.013*""thai"" + 0.013*""wei"" + 0.012*""pei"" + 0.007*""asian"" + 0.007*""fast"" + 0.006*""pad"" + 0.005*""dishes"" + 0.005*""spicy"" + 0.005*""dish"" + 0.005*""bowl"""
Topic 2,"0.007*""said"" + 0.006*""asked"" + 0.005*""panda"" + 0.005*""told"" + 0.005*""location"" + 0.004*""customer"" + 0.004*""express"" + 0.004*""wait"" + 0.003*""delivery"" + 0.003*""tasted"""
Topic 3,"0.011*""soup"" + 0.008*""delicious"" + 0.007*""spicy"" + 0.006*""dishes"" + 0.006*""pork"" + 0.006*""noodle"" + 0.005*""dish"" + 0.005*""dumplings"" + 0.004*""tea"" + 0.004*""recommend"""
Topic 4,"0.020*""market"" + 0.011*""philly"" + 0.010*""terminal"" + 0.010*""reading"" + 0.008*""many"" + 0.006*""places"" + 0.006*""produce"" + 0.006*""find"" + 0.006*""around"" + 0.005*""amish"""
