Topic ID,Words and Weights
Topic 0,"0.000*""cockroach"" + 0.000*""remembers"" + 0.000*""hei"" + 0.000*""daniel"" + 0.000*""dreaming"" + 0.000*""roach"" + 0.000*""vinny"" + 0.000*""vincent"" + 0.000*""gems"" + 0.000*""reuben"""
Topic 1,"0.004*""vinny"" + 0.004*""daniel"" + 0.004*""dreaming"" + 0.003*""reuben"" + 0.003*""remembers"" + 0.003*""vincent"" + 0.003*""hei"" + 0.003*""baba"" + 0.003*""wayne"" + 0.002*""tantan"""
Topic 2,"0.003*""smokin"" + 0.002*""doscuno"" + 0.002*""japantown"" + 0.002*""despise"" + 0.002*""daikokuya"" + 0.002*""miniscule"" + 0.002*""nami"" + 0.002*""cherries"" + 0.002*""luncheon"" + 0.002*""classical"""
Topic 3,"0.005*""cockroach"" + 0.004*""audacity"" + 0.004*""roach"" + 0.003*""rag"" + 0.003*""cockroaches"" + 0.003*""appalling"" + 0.002*""neglect"" + 0.002*""blob"" + 0.002*""disgust"" + 0.002*""blatant"""
Topic 4,"0.002*""awesomeness"" + 0.002*""tteokbokki"" + 0.002*""elevated"" + 0.002*""creaminess"" + 0.002*""rivals"" + 0.002*""tantan"" + 0.002*""doki"" + 0.001*""hei"" + 0.001*""rinds"" + 0.001*""tsaocaa"""
