Topic ID,Words and Weights
Topic 0,"0.002*""abusing"" + 0.001*""racists"" + 0.001*""pba"" + 0.001*""sunlake"" + 0.001*""raj"" + 0.001*""passports"" + 0.001*""ewwwww"" + 0.001*""trifling"" + 0.001*""fingernail"" + 0.001*""geraldine"""
Topic 1,"0.001*""biglari"" + 0.001*""dockstreet"" + 0.001*""hipe"" + 0.001*""colette"" + 0.001*""tacodilla"" + 0.001*""prongs"" + 0.001*""gaby"" + 0.001*""chasu"" + 0.001*""unchopped"" + 0.001*""spaa"""
Topic 2,"0.001*""crums"" + 0.001*""vinager"" + 0.001*""trice"" + 0.001*""gruben"" + 0.001*""hoarse"" + 0.001*""jun"" + 0.001*""complacency"" + 0.001*""kickn"" + 0.001*""crakers"" + 0.001*""trashcans"""
Topic 3,"0.001*""excelente"" + 0.001*""enoteca"" + 0.001*""topa"" + 0.001*""misha"" + 0.001*""kip"" + 0.001*""cevapi"" + 0.001*""restrain"" + 0.001*""balkan"" + 0.001*""jessi"" + 0.001*""yummmy"""
Topic 4,"0.000*""excelente"" + 0.000*""pba"" + 0.000*""enoteca"" + 0.000*""abusing"" + 0.000*""sunlake"" + 0.000*""racists"" + 0.000*""misha"" + 0.000*""raj"" + 0.000*""passports"" + 0.000*""topa"""
