Topic ID,Words and Weights
Topic 0,"0.007*""passionate"" + 0.006*""unpretentious"" + 0.006*""louis"" + 0.005*""chicago"" + 0.005*""caramelized"" + 0.005*""sublime"" + 0.005*""adoptable"" + 0.004*""ponzu"" + 0.004*""underrated"" + 0.004*""tantan"""
Topic 1,"0.007*""ipad"" + 0.005*""shared"" + 0.005*""classical"" + 0.005*""redeeming"" + 0.005*""distasteful"" + 0.004*""thumbs"" + 0.004*""dirt"" + 0.004*""paced"" + 0.004*""rancid"" + 0.004*""creepy"""
Topic 2,"0.001*""passionate"" + 0.001*""adoptable"" + 0.001*""unpretentious"" + 0.001*""sublime"" + 0.001*""louis"" + 0.001*""nutritious"" + 0.001*""underrated"" + 0.001*""charming"" + 0.001*""co"" + 0.001*""bring"""
Topic 3,"0.007*""downhill"" + 0.007*""unauthentic"" + 0.007*""disgusting"" + 0.006*""redeeming"" + 0.005*""pedestrian"" + 0.005*""robotic"" + 0.005*""qu"" + 0.005*""mei"" + 0.005*""muddy"" + 0.005*""minuscule"""
Topic 4,"0.019*""disgusting"" + 0.014*""disgusted"" + 0.008*""trash"" + 0.008*""unwelcome"" + 0.007*""fraudulent"" + 0.007*""blatant"" + 0.007*""poorly"" + 0.007*""offended"" + 0.005*""co"" + 0.005*""suck"""
