Topic ID,Words and Weights
Topic 0,"0.000*""goood"" + 0.000*""goooood"" + 0.000*""tastebud"" + 0.000*""lobsta"" + 0.000*""petersburg"" + 0.000*""tria"" + 0.000*""gooooood"" + 0.000*""reccomend"" + 0.000*""relatable"" + 0.000*""slavic"""
Topic 1,"0.002*""deeelish"" + 0.002*""dt"" + 0.002*""goood"" + 0.002*""slavic"" + 0.002*""yummilicious"" + 0.002*""pinball"" + 0.001*""deliscious"" + 0.001*""chunkier"" + 0.001*""beachfront"" + 0.001*""genovese"""
Topic 2,"0.004*""pubic"" + 0.004*""insincere"" + 0.002*""mold"" + 0.002*""disrespect"" + 0.002*""charge"" + 0.002*""laziness"" + 0.002*""infuriating"" + 0.002*""deceitful"" + 0.001*""soggiest"" + 0.001*""interracial"""
Topic 3,"0.000*""goooood"" + 0.000*""tria"" + 0.000*""relatable"" + 0.000*""goood"" + 0.000*""lobsta"" + 0.000*""reccomend"" + 0.000*""deliscious"" + 0.000*""slavic"" + 0.000*""gooooood"" + 0.000*""tahitian"""
Topic 4,"0.003*""goood"" + 0.003*""goooood"" + 0.002*""reccomend"" + 0.002*""lobsta"" + 0.002*""tria"" + 0.002*""decedent"" + 0.002*""rollin"" + 0.002*""petersburg"" + 0.002*""tastebud"" + 0.002*""material"""
