Topic ID,Words and Weights
Topic 0,"0.010*""divine"" + 0.006*""metropolitan"" + 0.005*""respectable"" + 0.005*""saw"" + 0.004*""pigs"" + 0.004*""hooked"" + 0.004*""mi"" + 0.003*""sublime"" + 0.003*""bassetts"" + 0.003*""jealous"""
Topic 1,"0.001*""metropolitan"" + 0.001*""divine"" + 0.001*""lancaster"" + 0.001*""jealous"" + 0.001*""hooked"" + 0.001*""respectable"" + 0.001*""delicous"" + 0.001*""filbert"" + 0.001*""flawless"" + 0.001*""passionate"""
Topic 2,"0.007*""dishonest"" + 0.005*""rudest"" + 0.005*""deplorable"" + 0.004*""unedible"" + 0.004*""nastiest"" + 0.004*""piss"" + 0.004*""uc"" + 0.004*""verbal"" + 0.003*""uncalled"" + 0.003*""locked"""
Topic 3,"0.016*""divine"" + 0.012*""metropolitan"" + 0.009*""lancaster"" + 0.007*""hooked"" + 0.006*""jealous"" + 0.006*""sensational"" + 0.006*""passionate"" + 0.005*""whoopie"" + 0.004*""olympia"" + 0.004*""delighted"""
Topic 4,"0.009*""tong"" + 0.007*""anemic"" + 0.005*""boxed"" + 0.005*""eldest"" + 0.004*""cluttered"" + 0.004*""incapable"" + 0.004*""deadly"" + 0.004*""unsettling"" + 0.004*""inconsiderate"" + 0.004*""gastrointestinal"""
