Topic ID,Words and Weights
Topic 0,"0.013*""food"" + 0.011*""order"" + 0.010*""us"" + 0.010*""time"" + 0.010*""would"" + 0.009*""one"" + 0.008*""like"" + 0.008*""even"" + 0.007*""came"" + 0.007*""could"""
Topic 1,"0.028*""chicken"" + 0.021*""rice"" + 0.019*""sauce"" + 0.015*""fried"" + 0.015*""bowl"" + 0.014*""tea"" + 0.013*""like"" + 0.011*""good"" + 0.011*""spicy"" + 0.010*""also"""
Topic 2,"0.093*""sushi"" + 0.073*""roll"" + 0.055*""rolls"" + 0.027*""tuna"" + 0.024*""salmon"" + 0.020*""fish"" + 0.017*""spicy"" + 0.015*""salad"" + 0.013*""tempura"" + 0.012*""crab"""
Topic 3,"0.030*""place"" + 0.026*""great"" + 0.024*""food"" + 0.024*""good"" + 0.019*""sushi"" + 0.015*""service"" + 0.012*""delicious"" + 0.011*""best"" + 0.011*""love"" + 0.010*""really"""
Topic 4,"0.119*""ramen"" + 0.030*""pork"" + 0.028*""broth"" + 0.022*""noodles"" + 0.012*""spicy"" + 0.010*""good"" + 0.010*""egg"" + 0.009*""flavor"" + 0.008*""miso"" + 0.007*""buns"""
