Topic ID,Words and Weights
Topic 0,"0.035*""great"" + 0.031*""place"" + 0.027*""good"" + 0.018*""service"" + 0.011*""back"" + 0.011*""go"" + 0.011*""love"" + 0.010*""delicious"" + 0.010*""best"" + 0.010*""amazing"""
Topic 1,"0.016*""us"" + 0.012*""order"" + 0.011*""time"" + 0.010*""would"" + 0.010*""get"" + 0.009*""one"" + 0.008*""back"" + 0.008*""table"" + 0.008*""came"" + 0.007*""could"""
Topic 2,"0.038*""chicken"" + 0.018*""good"" + 0.017*""ordered"" + 0.017*""salad"" + 0.014*""fried"" + 0.014*""sauce"" + 0.013*""cheese"" + 0.010*""got"" + 0.009*""hot"" + 0.009*""pork"""
Topic 3,"0.023*""burger"" + 0.019*""fries"" + 0.015*""like"" + 0.014*""cheese"" + 0.014*""good"" + 0.010*""got"" + 0.010*""breakfast"" + 0.010*""coffee"" + 0.009*""sandwich"" + 0.009*""bacon"""
Topic 4,"0.011*""menu"" + 0.007*""beer"" + 0.007*""wine"" + 0.006*""one"" + 0.006*""bar"" + 0.006*""like"" + 0.006*""restaurant"" + 0.004*""dining"" + 0.004*""well"" + 0.004*""bit"""
