Rating,Word,TF-IDF,Frequency
1,chinese,0.3699586761431621,1230
1,worst,0.27431082328663725,912
1,last,0.23911963214131207,795
1,horrible,0.20212376452699587,672
1,terrible,0.20182298511549737,671
1,rude,0.16422555867818414,546
1,fried,0.16332322044368863,543
1,better,0.1621201027976946,539
1,sure,0.15580373515622598,518
1,many,0.14196788222729473,472
2,chinese,0.4191805682776647,1042
2,hot,0.2087857149098925,519
2,better,0.20114230723496387,500
2,little,0.19792403031920444,492
2,fried,0.19188976110215553,477
2,last,0.1858554918851066,462
2,sure,0.1709709611497193,425
2,small,0.16010927655903123,398
2,fresh,0.14321332275129428,356
2,asian,0.13999504583553485,348
3,chinese,0.4574738423454771,1859
3,little,0.2977640393964644,1210
3,noodle,0.19760704432674456,803
3,hot,0.19022446483757602,773
3,fresh,0.1697993282508764,690
3,decent,0.16340109269359698,664
3,better,0.15552634123848388,632
3,fried,0.15257330944281647,620
3,asian,0.1491281056812045,606
3,small,0.14617507388553708,594
4,chinese,0.436884546433874,4063
4,delicious,0.3122600843819764,2904
4,little,0.26828130527996935,2495
4,fresh,0.25677585451245166,2388
4,noodle,0.21344224087404376,1985
4,hot,0.2037647589200569,1895
4,tasty,0.14537728446433612,1352
4,fried,0.1443020086916709,1342
4,many,0.14086112621914224,1310
4,friendly,0.1308610615333558,1217
5,delicious,0.42727829861773275,5795
5,chinese,0.40390518029817774,5478
5,fresh,0.31240347735001445,4237
5,favorite,0.20401709271359214,2767
5,hot,0.17754722054728223,2408
5,many,0.17127998061932584,2323
5,little,0.1625058447201869,2204
5,friendly,0.16243211248574033,2203
5,noodle,0.1586717685289665,2152
5,amazing,0.14060737108956278,1907
