Rating,Word,TF-IDF,Frequency
1,worst,0.33856445692207704,3201
1,mexican,0.24654600096387427,2331
1,last,0.2375556920484177,2246
1,horrible,0.21820008579514055,2063
1,terrible,0.2170366340531403,2052
1,wrong,0.20857516683859292,1972
1,rude,0.19070031734786158,1803
1,sure,0.16087364541658206,1521
1,better,0.16002749869512733,1513
1,cold,0.15992173035494547,1512
2,mexican,0.39020163572258026,2244
2,better,0.23474697336251488,1350
2,little,0.21475000896496732,1235
2,last,0.1924925181572622,1107
2,small,0.18571093892678955,1068
2,sure,0.183450412516632,1055
2,many,0.1566718688886118,901
2,hot,0.1424131638399257,819
2,disappointed,0.13528381131558265,778
2,fresh,0.13076275849526756,752
3,mexican,0.40221446529430466,3225
3,little,0.32414120784492956,2599
3,small,0.18495629520355159,1483
3,fresh,0.1842079892216087,1477
3,better,0.17934400033897988,1438
3,sure,0.16238239808160765,1302
3,delicious,0.15938917415383608,1278
3,hot,0.1563959502260645,1254
3,decent,0.14567023115154973,1168
3,friendly,0.1430511602147496,1147
4,mexican,0.39848818914767403,7010
4,delicious,0.35818460482446424,6301
4,little,0.3068529593465256,5398
4,fresh,0.27638367698088323,4862
4,friendly,0.19253630479931128,3387
4,tasty,0.17025279978563249,2995
4,hot,0.15217587480004613,2677
4,small,0.15001573910994462,2639
4,happy,0.1401245914763219,2465
4,sure,0.12022860485696585,2115
5,delicious,0.4769347656232802,15741
5,mexican,0.38779544280619804,12799
5,fresh,0.31559319730208285,10416
5,friendly,0.22342398587802986,7374
5,amazing,0.1818236153043202,6001
5,favorite,0.17955119884909207,5926
5,little,0.1656440101430959,5467
5,authentic,0.1558271710565104,5143
5,awesome,0.1515550281206815,5002
5,excellent,0.14810095510873475,4888
