Topic ID,Words and Weights
Topic 0,"0.000*""fox"" + 0.000*""metropolitan"" + 0.000*""scrapple"" + 0.000*""martin"" + 0.000*""joey"" + 0.000*""bassets"" + 0.000*""saraga"" + 0.000*""reuben"" + 0.000*""soaps"" + 0.000*""salumeria"""
Topic 1,"0.004*""scrapple"" + 0.004*""metropolitan"" + 0.003*""fox"" + 0.003*""martin"" + 0.003*""bassets"" + 0.002*""saraga"" + 0.002*""joey"" + 0.002*""delightfully"" + 0.002*""soaps"" + 0.002*""reuben"""
Topic 2,"0.000*""appalling"" + 0.000*""puke"" + 0.000*""rudest"" + 0.000*""fraud"" + 0.000*""deplorable"" + 0.000*""uncalled"" + 0.000*""dumpster"" + 0.000*""accusing"" + 0.000*""unedible"" + 0.000*""sim"""
Topic 3,"0.000*""saraga"" + 0.000*""fox"" + 0.000*""scrapple"" + 0.000*""martin"" + 0.000*""metropolitan"" + 0.000*""rudest"" + 0.000*""bassets"" + 0.000*""joey"" + 0.000*""fraud"" + 0.000*""puke"""
Topic 4,"0.003*""rudest"" + 0.003*""appalling"" + 0.003*""fraud"" + 0.003*""puke"" + 0.002*""cockroaches"" + 0.002*""dumpster"" + 0.002*""moldy"" + 0.002*""disrespected"" + 0.002*""uncalled"" + 0.002*""unedible"""
