Topic ID,Words and Weights
Topic 0,"0.001*""crums"" + 0.001*""vinager"" + 0.001*""gruben"" + 0.001*""jun"" + 0.001*""hoarse"" + 0.001*""trice"" + 0.001*""complacency"" + 0.001*""trashcans"" + 0.001*""goh"" + 0.001*""lubed"""
Topic 1,"0.002*""excelente"" + 0.002*""enoteca"" + 0.002*""topa"" + 0.001*""misha"" + 0.001*""cevapi"" + 0.001*""balkan"" + 0.001*""cluckin"" + 0.001*""jessi"" + 0.001*""raul"" + 0.001*""kip"""
Topic 2,"0.001*""biglari"" + 0.001*""dockstreet"" + 0.001*""hipe"" + 0.001*""colette"" + 0.001*""prongs"" + 0.001*""tacodilla"" + 0.001*""unchopped"" + 0.001*""gaby"" + 0.001*""chasu"" + 0.001*""spaa"""
Topic 3,"0.001*""kouign"" + 0.001*""restrain"" + 0.001*""deeelish"" + 0.001*""hanukkah"" + 0.001*""doughsant"" + 0.001*""enoteca"" + 0.001*""yummmy"" + 0.001*""biggity"" + 0.001*""amann"" + 0.001*""slavic"""
Topic 4,"0.002*""abusing"" + 0.001*""racists"" + 0.001*""pba"" + 0.001*""sunlake"" + 0.001*""raj"" + 0.001*""passports"" + 0.001*""fingernail"" + 0.001*""ewwwww"" + 0.001*""trifling"" + 0.001*""cassy"""
