Topic ID,Words and Weights
Topic 0,"0.003*""appalling"" + 0.002*""anemic"" + 0.002*""cluttered"" + 0.002*""sim"" + 0.002*""rudest"" + 0.002*""masseuse"" + 0.002*""overcharge"" + 0.002*""inconveniencing"" + 0.002*""kare"" + 0.002*""spiders"""
Topic 1,"0.004*""fraud"" + 0.004*""puke"" + 0.004*""rudest"" + 0.003*""dumpster"" + 0.003*""cockroaches"" + 0.003*""moldy"" + 0.003*""disrespected"" + 0.003*""responds"" + 0.002*""mortified"" + 0.002*""benjamin"""
Topic 2,"0.005*""fox"" + 0.004*""metropolitan"" + 0.004*""scrapple"" + 0.004*""joey"" + 0.004*""bassets"" + 0.004*""martin"" + 0.004*""saraga"" + 0.003*""reuben"" + 0.003*""soaps"" + 0.003*""salumeria"""
Topic 3,"0.002*""scrapple"" + 0.002*""metropolitan"" + 0.001*""fox"" + 0.001*""sorbet"" + 0.001*""jambalaya"" + 0.001*""delightfully"" + 0.001*""respectable"" + 0.001*""zongzi"" + 0.001*""afternoons"" + 0.001*""martin"""
Topic 4,"0.000*""metropolitan"" + 0.000*""scrapple"" + 0.000*""martin"" + 0.000*""fox"" + 0.000*""bassets"" + 0.000*""delightfully"" + 0.000*""zongzi"" + 0.000*""salumeria"" + 0.000*""saraga"" + 0.000*""jambalaya"""
