Topic ID,Words and Weights
Topic 0,"0.009*""dinner"" + 0.007*""amazing"" + 0.007*""wine"" + 0.007*""salad"" + 0.005*""bar"" + 0.005*""server"" + 0.005*""dessert"" + 0.005*""excellent"" + 0.005*""drinks"" + 0.004*""dish"""
Topic 1,"0.016*""breakfast"" + 0.012*""coffee"" + 0.007*""brunch"" + 0.007*""eggs"" + 0.006*""amazing"" + 0.006*""toast"" + 0.004*""spot"" + 0.004*""french"" + 0.004*""bacon"" + 0.004*""cream"""
Topic 2,"0.011*""fried"" + 0.008*""bbq"" + 0.007*""pork"" + 0.007*""mac"" + 0.006*""meat"" + 0.006*""amazing"" + 0.005*""beans"" + 0.005*""line"" + 0.005*""flavor"" + 0.005*""nashville"""
Topic 3,"0.006*""told"" + 0.006*""server"" + 0.006*""waitress"" + 0.005*""burger"" + 0.005*""manager"" + 0.004*""cold"" + 0.004*""waited"" + 0.004*""left"" + 0.004*""waiting"" + 0.003*""seated"""
Topic 4,"0.021*""beer"" + 0.014*""burger"" + 0.013*""bar"" + 0.007*""beers"" + 0.006*""pizza"" + 0.006*""selection"" + 0.006*""burgers"" + 0.006*""drinks"" + 0.006*""atmosphere"" + 0.006*""tacos"""
