Rating,Word,TF-IDF,Frequency
1,food,0.3628067432388985,57298
1,us,0.19532094678156833,30847
1,place,0.18880539407828328,29818
1,service,0.18507588917815218,29229
1,order,0.1797760664253343,28392
1,would,0.17310854747824087,27339
1,back,0.1706011044554023,26943
1,one,0.16960066001699703,26785
1,time,0.16490237031258742,26043
1,get,0.16230628031419395,25633
2,food,0.4005709048964761,52185
2,place,0.20312940224730186,26463
2,like,0.19300478744307742,25144
2,service,0.18413135703088376,23988
2,would,0.16850306609729698,21952
2,time,0.1596910435080251,20804
2,one,0.159023233433751,20717
2,ordered,0.1567357920299156,20419
2,get,0.15637502107025028,20372
2,back,0.15040311029110956,19594
3,food,0.3867871805901994,64826
3,place,0.22849476857869183,38296
3,like,0.2003267144095879,33575
3,would,0.18702728785950684,31346
3,service,0.17959894059398376,30101
3,really,0.15060153681049615,25241
3,time,0.14732590416087996,24692
3,get,0.14552400787639164,24390
3,one,0.14237367265053125,23862
3,ordered,0.13750497275601975,23046
4,food,0.3438558043869717,103310
4,place,0.2568417467537455,77167
4,like,0.16867939512658348,50679
4,service,0.165004854345989,49575
4,really,0.16004222725915349,48084
4,would,0.14998383754995373,45062
4,time,0.14754412886138873,44329
4,one,0.1436266157284542,43152
4,back,0.1387638402932653,41691
4,get,0.13815141682983287,41507
5,food,0.3836578140962602,166351
5,place,0.29157818591372336,126426
5,service,0.19066075847769917,82669
5,delicious,0.16796200580211926,72827
5,back,0.15321081477255116,66431
5,amazing,0.14618577914464867,63385
5,time,0.14567147088955273,63162
5,one,0.13843656059253037,60025
5,go,0.13082802725817372,56726
5,also,0.12612545088086144,54687
