Rating,Word,TF-IDF,Frequency
1,food,0.3347489277123508,2789
1,sushi,0.23512841498332565,1959
1,place,0.22888712984849519,1907
1,order,0.18399788676336817,1533
1,us,0.18051717005355886,1504
1,like,0.17547613206004192,1462
1,would,0.16467390778821991,1372
1,service,0.16059306750775382,1338
1,one,0.15735240022620722,1311
1,time,0.15111111509137673,1259
2,food,0.3046754304592549,2310
2,sushi,0.2809344878260662,2130
2,place,0.2316060847993297,1756
2,like,0.20760135391466114,1574
2,ramen,0.1996877063702649,1514
2,would,0.16394439829474192,1243
2,service,0.15418423298998657,1169
2,ordered,0.14904036208612903,1130
2,one,0.14020345566155323,1063
2,time,0.13888451440415386,1053
3,sushi,0.301799409359534,3364
3,food,0.2702199230056232,3012
3,ramen,0.2503033151346908,2790
3,place,0.2250935547214836,2509
3,like,0.19961465095866918,2225
3,would,0.17808318299009362,1985
3,service,0.1447991220886706,1614
3,really,0.14255626084194398,1589
3,time,0.13726310829966915,1530
3,roll,0.13394367365451376,1493
4,sushi,0.3199125124315826,7144
4,ramen,0.26227989716010347,5857
4,place,0.24700971704543806,5516
4,food,0.24150170486331535,5393
4,like,0.1656433907453001,3699
4,really,0.14997018534901596,3349
4,roll,0.14902979302523892,3328
4,would,0.14141709326132948,3158
4,service,0.13183404767617288,2944
4,time,0.13147580298140069,2936
5,sushi,0.3448570949547465,11935
5,place,0.3020641869004541,10454
5,food,0.28955282350578254,10021
5,ramen,0.207636622064919,7186
5,service,0.16311003778965597,5645
5,delicious,0.16042283964715146,5552
5,fresh,0.136382529383025,4720
5,roll,0.13522674523571124,4680
5,back,0.133782015051569,4630
5,time,0.13201944422691553,4569
