Rating,Word,TF-IDF,Frequency
1,food,0.45455619930411545,7242
1,order,0.21673329966820087,3453
1,place,0.19633413303276348,3128
1,like,0.1687167997417098,2688
1,chicken,0.16802636640943344,2677
1,time,0.16721039974401597,2664
1,service,0.15377833309791258,2450
1,back,0.15038893310310145,2396
1,would,0.14951019977111338,2382
1,ordered,0.14361013311347917,2288
2,food,0.45492097934915204,4743
2,like,0.20276258704282257,2114
2,place,0.19777504942398302,2062
2,chicken,0.19288342599012118,2011
2,would,0.1542300094441148,1608
2,time,0.1513525838947843,1578
2,one,0.15077709878491818,1572
2,ordered,0.1501056994900744,1565
2,order,0.149626128565186,1560
2,service,0.13945922495755156,1454
3,food,0.4289836090907669,6201
3,place,0.23534949816590695,3402
3,like,0.1993760298983374,2882
3,chicken,0.17710015147111163,2560
3,would,0.15821408063063763,2287
3,get,0.14327125535026258,2071
3,really,0.13579984271007506,1963
3,service,0.13538476423006465,1957
3,chinese,0.13524640473672783,1955
3,time,0.13496968575005422,1951
4,food,0.3980253003222448,11655
4,place,0.26155948306890375,7659
4,chicken,0.1751926032306406,5130
4,like,0.17485109718145805,5120
4,noodles,0.15104812555343533,4423
4,get,0.1498187037763782,4387
4,chinese,0.1457889323960243,4269
4,really,0.13735373298121567,4022
4,one,0.13141152772543957,3848
4,also,0.12806476844345072,3750
5,food,0.4356621844104763,17772
5,place,0.3193924488343516,13029
5,chicken,0.14845657150516794,6056
5,delicious,0.1429409294000387,5831
5,chinese,0.14041599101413507,5728
5,get,0.13938640448784428,5686
5,go,0.13548868406688627,5527
5,like,0.13347853894412803,5445
5,love,0.1328656898213359,5420
5,one,0.12796289683899878,5220
