Topic ID,Words and Weights
Topic 0,"0.006*""cockroach"" + 0.006*""roach"" + 0.005*""audacity"" + 0.004*""appalling"" + 0.004*""neglect"" + 0.003*""cockroaches"" + 0.003*""disgust"" + 0.003*""nausea"" + 0.002*""unwelcome"" + 0.002*""puke"""
Topic 1,"0.003*""reuben"" + 0.003*""hei"" + 0.003*""remembers"" + 0.003*""vinny"" + 0.003*""dreaming"" + 0.002*""daniel"" + 0.002*""vincent"" + 0.002*""tantan"" + 0.002*""baba"" + 0.002*""gems"""
Topic 2,"0.003*""smokin"" + 0.002*""doscuno"" + 0.002*""japantown"" + 0.002*""despise"" + 0.002*""daikokuya"" + 0.002*""classical"" + 0.002*""nami"" + 0.002*""luncheon"" + 0.002*""miniscule"" + 0.002*""corny"""
Topic 3,"0.003*""wobbly"" + 0.002*""porridge"" + 0.002*""rag"" + 0.002*""miniscule"" + 0.002*""supplier"" + 0.002*""placement"" + 0.002*""unauthentic"" + 0.002*""stamped"" + 0.002*""paprika"" + 0.002*""outlet"""
Topic 4,"0.000*""hei"" + 0.000*""dreaming"" + 0.000*""remembers"" + 0.000*""daniel"" + 0.000*""reuben"" + 0.000*""baba"" + 0.000*""vinny"" + 0.000*""tantan"" + 0.000*""rachel"" + 0.000*""vincent"""
