Topic ID,Words and Weights
Topic 0,"0.003*""tortilleria"" + 0.002*""cristino"" + 0.002*""topa"" + 0.002*""carriage"" + 0.002*""chipilon"" + 0.002*""frybread"" + 0.002*""portuguese"" + 0.002*""yummmm"" + 0.001*""canelones"" + 0.001*""merch"""
Topic 1,"0.000*""carriage"" + 0.000*""topa"" + 0.000*""frybread"" + 0.000*""tortilleria"" + 0.000*""portuguese"" + 0.000*""yummmm"" + 0.000*""sunking"" + 0.000*""chipilon"" + 0.000*""cristino"" + 0.000*""tours"""
Topic 2,"0.002*""docked"" + 0.002*""cg"" + 0.002*""kung"" + 0.002*""carriage"" + 0.002*""foie"" + 0.002*""sunking"" + 0.001*""tours"" + 0.001*""topa"" + 0.001*""omnivore"" + 0.001*""oat"""
Topic 3,"0.000*""tortilleria"" + 0.000*""chipilon"" + 0.000*""carriage"" + 0.000*""cristino"" + 0.000*""topa"" + 0.000*""yummmm"" + 0.000*""frybread"" + 0.000*""portuguese"" + 0.000*""canelones"" + 0.000*""bernie"""
Topic 4,"0.004*""pitiful"" + 0.004*""fucked"" + 0.004*""morons"" + 0.003*""argumentative"" + 0.002*""racism"" + 0.002*""livid"" + 0.002*""retrained"" + 0.002*""liars"" + 0.002*""confront"" + 0.002*""cussed"""
