Topic ID,Words and Weights
Topic 0,"0.006*""shake"" + 0.004*""pizza"" + 0.004*""philly"" + 0.004*""cheesesteak"" + 0.003*""healthy"" + 0.003*""chain"" + 0.002*""bun"" + 0.002*""thru"" + 0.002*""shakes"" + 0.002*""wrap"""
Topic 1,"0.013*""beers"" + 0.009*""wings"" + 0.007*""pizza"" + 0.006*""bartender"" + 0.004*""patio"" + 0.004*""tap"" + 0.004*""chips"" + 0.004*""game"" + 0.004*""brewery"" + 0.003*""craft"""
Topic 2,"0.014*""brunch"" + 0.012*""eggs"" + 0.010*""toast"" + 0.006*""pancakes"" + 0.006*""cafe"" + 0.005*""cake"" + 0.005*""egg"" + 0.005*""morning"" + 0.004*""biscuits"" + 0.004*""shop"""
Topic 3,"0.012*""bbq"" + 0.012*""mac"" + 0.010*""beans"" + 0.009*""nashville"" + 0.008*""shrimp"" + 0.007*""brisket"" + 0.007*""orleans"" + 0.006*""ribs"" + 0.005*""rice"" + 0.005*""pulled"""
Topic 4,"0.011*""wine"" + 0.006*""shrimp"" + 0.005*""tacos"" + 0.005*""waiter"" + 0.005*""appetizer"" + 0.005*""crab"" + 0.004*""pasta"" + 0.004*""reservation"" + 0.004*""cocktails"" + 0.003*""salmon"""
