Topic ID,Words and Weights
Topic 0,"0.010*""bar"" + 0.009*""beer"" + 0.007*""atmosphere"" + 0.007*""server"" + 0.005*""margaritas"" + 0.005*""fish"" + 0.005*""margarita"" + 0.005*""fun"" + 0.004*""shrimp"" + 0.004*""waitress"""
Topic 1,"0.008*""asada"" + 0.006*""pastor"" + 0.006*""carne"" + 0.005*""carnitas"" + 0.005*""shrimp"" + 0.005*""fish"" + 0.005*""truck"" + 0.005*""al"" + 0.004*""green"" + 0.004*""chorizo"""
Topic 2,"0.007*""tucson"" + 0.006*""margaritas"" + 0.006*""enchiladas"" + 0.006*""server"" + 0.006*""el"" + 0.005*""margarita"" + 0.005*""atmosphere"" + 0.005*""carne"" + 0.004*""plate"" + 0.004*""green"""
Topic 3,"0.021*""chipotle"" + 0.005*""qdoba"" + 0.005*""thru"" + 0.004*""online"" + 0.004*""window"" + 0.003*""employee"" + 0.003*""queso"" + 0.003*""dirty"" + 0.003*""cashier"" + 0.003*""guac"""
Topic 4,"0.009*""breakfast"" + 0.007*""sandwich"" + 0.006*""truck"" + 0.006*""fries"" + 0.006*""bus"" + 0.005*""vegan"" + 0.004*""fried"" + 0.004*""fish"" + 0.004*""burger"" + 0.004*""coffee"""
