Topic ID,Words and Weights
Topic 0,"0.031*""market"" + 0.017*""philly"" + 0.015*""terminal"" + 0.015*""reading"" + 0.009*""produce"" + 0.008*""cheese"" + 0.008*""philadelphia"" + 0.008*""amish"" + 0.007*""city"" + 0.007*""crowded"""
Topic 1,"0.014*""panda"" + 0.012*""hand"" + 0.009*""express"" + 0.009*""broth"" + 0.008*""bubble"" + 0.007*""drawn"" + 0.007*""boba"" + 0.006*""chinatown"" + 0.006*""dumplings"" + 0.005*""milk"""
Topic 2,"0.021*""pho"" + 0.014*""dan"" + 0.012*""dumplings"" + 0.007*""han"" + 0.007*""vietnamese"" + 0.006*""broth"" + 0.006*""chili"" + 0.006*""pot"" + 0.006*""spice"" + 0.005*""dynasty"""
Topic 3,"0.013*""sushi"" + 0.006*""salad"" + 0.006*""buffet"" + 0.005*""thai"" + 0.005*""wei"" + 0.005*""bar"" + 0.005*""pei"" + 0.003*""tso"" + 0.003*""pad"" + 0.003*""fish"""
Topic 4,"0.012*""duck"" + 0.008*""dim"" + 0.008*""sum"" + 0.006*""reno"" + 0.005*""thai"" + 0.005*""dumplings"" + 0.004*""taiwanese"" + 0.004*""buns"" + 0.004*""wonton"" + 0.004*""bao"""
